feature,feature_type,missing_fraction,n_unique,most_frequent_fraction,is_constant,is_near_constant,is_likely_identifier,signed_auc,prediction_power,train_signed_auc,heldout_signed_auc,abs_auc_delta,stable,importance,permutation_importance,prediction_power_rank_score,importance_rank_score,permutation_importance_rank_score,composite_score
DeviceType,categorical,0.7618676691389802,2,0.7618676691389802,False,False,False,0.33345687967168347,0.33345687967168347,0.33345687967168347,0.3189001318751068,0.014556747796576675,True,1.0801987680533796,0.0,0.48205869039903115,0.16529790934818608,0.0,0.2725971667819427
D3,numeric,0.444641627437035,639,0.444641627437035,False,False,False,-0.40318079847969657,0.40318079847969657,-0.40318079847969657,-0.39945823698582805,0.0037225614938685148,True,0.19221426854216137,0.0,0.5828543945487613,0.029413676146073885,0.0,0.2720208799739882
V199,numeric,0.7638590668427767,45,0.7638590668427767,False,False,False,0.3837877107447809,0.3837877107447809,0.3837877107447809,0.3974553631274471,0.013667652382666207,True,0.4538192446029921,0.0,0.554818966143471,0.069445896971381,0.0,0.2719244508471454
V263,numeric,0.7793838407784965,8466,0.7793838407784965,False,False,False,0.41648856292865233,0.41648856292865233,0.41648856292865233,0.4249558642137692,0.008467301285116857,True,0.04105733208896469,0.0,0.6020926346136196,0.006282816976314755,0.0,0.27187057632507144
V167,numeric,0.7638590668427767,740,0.7638590668427767,False,False,False,0.34391751445252683,0.34391751445252683,0.34391751445252683,0.349747412442587,0.005829897990060173,True,0.9034980062633508,0.0,0.4971810051887599,0.13825819465127,0.0,0.27124733576437743
addr1,categorical,0.11101251961481581,304,0.11101251961481581,False,False,False,0.3787124594109301,0.3787124594109301,0.3787124594109301,0.38091066734550827,0.0021982079345781447,True,0.46499033051388877,0.0,0.5474819784830248,0.07115535748997413,0.0,0.2709415342486654
V246,numeric,0.7793838407784965,40,0.7793838407784965,False,False,False,0.41201562300804406,0.41201562300804406,0.41201562300804406,0.42073653885091766,0.0087209158428736,True,0.057475250766161154,0.0,0.5956263725815243,0.008795176472965285,0.0,0.2698020420507928
V204,numeric,0.7638590668427767,10416,0.7638590668427767,False,False,False,0.3614500437941288,0.3614500437941288,0.3614500437941288,0.36139667813210696,5.3365662021853666e-05,True,0.6418327216935703,0.0,0.5225267354736371,0.09821674508886366,0.0,0.26950488689493574
V233,numeric,0.7793838407784965,277,0.7793838407784965,False,False,False,0.40659274102987086,0.40659274102987086,0.40659274102987086,0.41352404457050107,0.006931303540630207,True,0.0882728663861969,0.0,0.5877868360658569,0.01350799565537837,0.0,0.26819217917792354
V52,numeric,0.28594393831634324,9,0.5951321389462751,False,False,False,0.4069349504798454,0.4069349504798454,0.4069349504798454,0.3994485790297124,0.007486371450132978,True,0.07228431066156951,0.0,0.5882815478242687,0.011061339620451955,0.0,0.2674752096705591
V177,numeric,0.7638590668427767,722,0.7638590668427767,False,False,False,0.3091167139408988,0.3091167139408988,0.3091167139408988,0.32058226927274824,0.011465555331849453,True,1.2651079061126,0.0,0.4468715668710057,0.19359371456896546,0.0,0.26713017189131305
V51,numeric,0.28594393831634324,7,0.59899978550705,False,False,False,0.3992931022787687,0.3992931022787687,0.3992931022787687,0.3877493254889546,0.011543776789814109,True,0.11320509905340137,0.0,0.5772341844000495,0.01732326193521159,0.0,0.26408695813887423
V230,numeric,0.7793838407784965,63,0.7793838407784965,False,False,False,0.40423454493111377,0.40423454493111377,0.40423454493111377,0.4136336665970486,0.009399121665934818,True,0.009463038157947702,0.0,0.5843777328433046,0.0014480857318600153,0.0,0.2620669415357479
V275,numeric,0.7793838407784965,6269,0.7793838407784965,False,False,False,0.40222515885955246,0.40222515885955246,0.40222515885955246,0.40947881774550887,0.0072536588859564155,True,0.02227172266670743,0.0,0.5814728834393379,0.003408140523085119,0.0,0.26176759789788834
V243,numeric,0.7793838407784965,42,0.7793838407784965,False,False,False,0.3892378486120487,0.3892378486120487,0.3892378486120487,0.38929760327534835,5.975466329966039e-05,True,0.12253308008652845,0.0,0.5626979048697498,0.018750680488922852,0.0,0.25976783216301547
V18,numeric,0.12854223817748728,13,0.7586389857870198,False,False,False,0.3234218277048293,0.3234218277048293,0.3234218277048293,0.31203857614595454,0.011383251558874763,True,0.8940148585060489,0.0,0.4675516152593884,0.13680703163879335,0.0,0.25657320020647123
V201,numeric,0.7635474876102099,53,0.7635474876102099,False,False,False,0.39307864662582825,0.39307864662582825,0.39307864662582825,0.3935253342998404,0.00044668767401212506,True,0.012519268089556869,0.0,0.5682503171109748,0.001915766711623344,0.0,0.2563161578979051
V231,numeric,0.7793838407784965,248,0.7793838407784965,False,False,False,0.38021151087658667,0.38021151087658667,0.38021151087658667,0.38849817690771027,0.008286666031123602,True,0.1514926483576226,0.0,0.5496490676343617,0.023182231637110584,0.0,0.2542128616037829
V200,numeric,0.7635474876102099,45,0.7635474876102099,False,False,False,0.3685311660106738,0.3685311660106738,0.3685311660106738,0.3683340312560581,0.00019713475461569097,True,0.2674028024117153,0.0,0.5327634908395005,0.04091943584804975,0.0,0.2540358032114003
